Region,InstanceType,CPU,Memory,Cost
ap-southeast-1,m6i.24xlarge,96,384 GiB,5.7600000000
eu-central-1,u-12tb1.112xlarge,448,12288 GiB,185.4930000000
ap-northeast-3,m5d.8xlarge,32,128 GiB,14.3360000000
ap-southeast-2,r5n.12xlarge,48,384 GiB,22.3440000000
ap-southeast-1,m5.16xlarge,64,256 GiB,11.5200000000
ap-southeast-1,c3.large,2,3.75 GiB,0.1320000000
us-gov-west-1,d2.4xlarge,16,122 GiB,9.6430000000
af-south-1,i3.metal,72,512 GiB,30.5600000000
us-east-1,c5.metal,96,192 GiB,40.0800000000
af-south-1,c5ad.2xlarge,8,16 GiB,0.4680000000
us-west-2-lax-1,r5.large,2,16 GiB,0.1600000000
us-gov-east-1,r5a.12xlarge,48,384 GiB,21.2640000000
eu-west-1,m6i.4xlarge,16,64 GiB,1.1264000000
ap-northeast-1,z1d.3xlarge,12,96 GiB,2.8850000000
ap-northeast-1,r5a.xlarge,4,32 GiB,0.2740000000
us-gov-east-1,x2idn.32xlarge,128,2048 GiB,31.3660000000
us-east-2,m5d.8xlarge,32,128 GiB,1.9180000000
us-gov-west-1,c5.9xlarge,36,72 GiB,15.3360000000
us-gov-east-1,c6i.16xlarge,64,128 GiB,4.6720000000
eu-west-3,x2idn.16xlarge,64,1024 GiB,16.9233000000
ap-southeast-1,c3.xlarge,4,7.5 GiB,1.7900000000
eu-north-1,m6i.metal,128,512 GiB,6.5280000000
af-south-1,c5.4xlarge,16,32 GiB,2.8320000000
eu-west-3,c5n.large,2,5.25 GiB,0.6160000000
sa-east-1,c5a.2xlarge,8,16 GiB,3.5190000000
eu-west-3,r5ad.4xlarge,16,128 GiB,1.4940000000
us-west-2,i3.4xlarge,16,122 GiB,3.1680000000
us-east-1-chi-1,m5.xlarge,4,16 GiB,0.2640000000
ap-southeast-3,c6g.4xlarge,16,32 GiB,0.6648000000
eu-south-1,inf1.xlarge,4,8 GiB,0.3520000000
sa-east-1,m3.2xlarge,8,30 GiB,0.9710000000
ap-east-1,inf1.2xlarge,8,16 GiB,3.5910000000
us-gov-west-1,m5dn.12xlarge,48,192 GiB,10.1100000000
ap-south-2,r6g.2xlarge,8,64 GiB,0.2756000000
eu-central-1,i3en.3xlarge,12,96 GiB,6.2250000000
us-east-1,r5ad.xlarge,4,32 GiB,1.7620000000
us-gov-west-1,m5ad.12xlarge,48,192 GiB,21.1440000000
eu-west-2,c5.large,2,4 GiB,0.1750000000
us-gov-west-1,r6i.8xlarge,32,256 GiB,14.6576000000
us-west-2-den-1,c5d.2xlarge,8,16 GiB,1.4400000000
ap-northeast-3,c5.metal,96,192 GiB,6.7580000000
eu-west-3,c5n.2xlarge,8,21 GiB,3.5430000000
us-west-1,x2iedn.24xlarge,96,3072 GiB,40.1310000000
ca-central-1,r6g.4xlarge,16,128 GiB,0.9362000000
ap-southeast-1,c5d.18xlarge,72,144 GiB,31.0320000000
sa-east-1,i4i.2xlarge,8,64 GiB,1.0960000000
ap-southeast-2,r5ad.xlarge,4,32 GiB,0.3860000000
eu-central-1,r5dn.4xlarge,16,128 GiB,1.6900000000
ca-central-1,c5a.2xlarge,8,16 GiB,1.3300000000
us-east-1,r5n.xlarge,4,32 GiB,1.8160000000
ap-northeast-1,m5a.large,2,8 GiB,0.1800000000
us-gov-west-1,r5.4xlarge,16,128 GiB,1.2800000000
us-west-1,r6g.12xlarge,48,384 GiB,2.8493000000
us-west-2-lax-1,r5d.xlarge,4,32 GiB,1.8660000000
us-east-1,x2idn.32xlarge,128,2048 GiB,28.6980000000
us-west-2-lax-1,t3.small,2,2 GiB,0.0265000000
af-south-1,m5.24xlarge,96,384 GiB,42.0960000000
eu-west-1,m6id.8xlarge,32,128 GiB,14.1168000000
us-east-1,i4i.large,2,16 GiB,0.1890000000
eu-west-1,r5n.metal,96,768 GiB,8.0160000000
af-south-1,r5d.2xlarge,8,64 GiB,1.7200000000
ca-central-1,c6in.12xlarge,48,96 GiB,2.9736000000
ap-south-2,m5.8xlarge,32,128 GiB,13.6160000000
us-east-1,i3en.metal,96,768 GiB,12.4700000000
eu-west-1,r5.12xlarge,48,384 GiB,4.1950000000
ap-southeast-2,m6a.24xlarge,96,384 GiB,41.1840000000
eu-west-2,r6gd.16xlarge,64,512 GiB,4.3264000000
ap-southeast-1,m6a.large,2,8 GiB,0.1756000000
ap-northeast-2,r5dn.24xlarge,96,768 GiB,9.5520000000
ap-southeast-2,c6i.4xlarge,16,32 GiB,2.8968000000
us-east-1,m5d.12xlarge,48,192 GiB,2.7120000000
ap-south-1,r4.2xlarge,8,61 GiB,1.5080000000
eu-central-1,x1e.xlarge,4,122 GiB,1.6470000000
us-gov-east-1,m5a.24xlarge,96,384 GiB,41.5750000000
sa-east-1,c5d.xlarge,4,8 GiB,1.7980000000
us-gov-west-1,m5d.large,2,8 GiB,0.2110000000
eu-west-1,r5b.metal,96,768 GiB,44.8176000000
ap-southeast-2,r5.large,2,16 GiB,0.6310000000
us-gov-west-1,r5.xlarge,4,32 GiB,0.8000000000
ap-south-1,r6id.large,2,16 GiB,0.6386000000
ca-central-1,c5.4xlarge,16,32 GiB,2.6640000000
us-east-1-msp-1,r5d.2xlarge,8,64 GiB,0.7200000000
us-east-1,r5dn.xlarge,4,32 GiB,0.4220000000
sa-east-1,u-6tb1.56xlarge,224,6144 GiB,74.0252800000
us-gov-west-1,g4dn.16xlarge,64,256 GiB,5.4860000000
us-east-2,c7g.8xlarge,32,64 GiB,1.1562000000
us-gov-east-1,m5a.8xlarge,32,128 GiB,2.3990000000
us-east-1,c5n.large,2,5.25 GiB,0.5940000000
us-east-1,i3en.metal,96,768 GiB,12.4700000000
us-east-2,r5d.16xlarge,64,512 GiB,4.6080000000
us-west-2-lax-1,m5.4xlarge,16,64 GiB,1.2480000000
eu-west-2,c6in.xlarge,4,8 GiB,1.7688000000
ap-east-1,m5.24xlarge,96,384 GiB,7.9580000000
eu-west-2,r5b.large,2,16 GiB,0.1750000000
us-west-2,c5.xlarge,4,8 GiB,0.1700000000
eu-central-1,d3.4xlarge,16,128 GiB,3.1660000000
us-east-2,m5d.24xlarge,96,384 GiB,5.4240000000
ap-southeast-4,i3en.6xlarge,24,192 GiB,6.3440000000
eu-west-1,g5.48xlarge,192,768 GiB,20.0005600000
eu-west-3,m5.16xlarge,64,256 GiB,3.5840000000
ca-central-1,i3.8xlarge,32,244 GiB,3.5680000000
me-central-1,r5.xlarge,4,32 GiB,0.7900000000
