InstanceType,CPU,Memory,Storage,Cost
linux-a0-basic,1,0.75,20,0.018
windows-a0-basic,1,0.75,20,0.018
linux-a1-basic,1,1.75,40,0.024
windows-a1-basic,1,1.75,40,0.035
linux-a2-basic,2,3.5,60,0.068
windows-a2-basic,2,3.5,60,0.11
linux-a3-basic,4,7,120,0.176
windows-a3-basic,4,7,120,0.296
linux-a4-basic,8,14,240,0.352
windows-a4-basic,8,14,240,0.592
linux-a0-standard,1,0.75,20,0.02
windows-a0-standard,1,0.75,20,0.02
linux-a1-standard,1,1.75,70,0.06
windows-a1-standard,1,1.75,70,0.09
linux-a2-standard,2,3.5,135,0.12
windows-a2-standard,2,3.5,135,0.18
linux-a3-standard,4,7,285,0.24
windows-a3-standard,4,7,285,0.36
linux-a4-standard,8,14,605,0.48
windows-a4-standard,8,14,605,0.72
linux-a5-standard,2,14,135,0.22
windows-a5-standard,2,14,135,0.3
linux-a6-standard,4,28,285,0.44
windows-a6-standard,4,28,285,0.6
linux-a7-standard,8,56,605,0.88
windows-a7-standard,8,56,605,1.2
linux-a1-lowpriority,1,1.75,70,0.012
windows-a1-lowpriority,1,1.75,70,0.036
linux-a2-lowpriority,2,3.5,135,0.024
windows-a2-lowpriority,2,3.5,135,0.072
linux-a3-lowpriority,4,7,285,0.048
windows-a3-lowpriority,4,7,285,0.144
linux-a4-lowpriority,8,14,605,0.096
windows-a4-lowpriority,8,14,605,0.288
linux-a5-lowpriority,2,14,135,0.044
windows-a5-lowpriority,2,14,135,0.12
linux-a6-lowpriority,4,28,285,0.088
windows-a6-lowpriority,4,28,285,0.24
linux-a7-lowpriority,8,56,605,0.176
windows-a7-lowpriority,8,56,605,0.48
linux-a1v2-lowpriority,1,2,10,0.009
windows-a1v2-lowpriority,1,2,10,0.026
linux-a2v2-lowpriority,2,4,20,0.018
windows-a2v2-lowpriority,2,4,20,0.054
linux-a4v2-lowpriority,4,8,40,0.038
windows-a4v2-lowpriority,4,8,40,0.114
linux-a8v2-lowpriority,8,16,80,0.08
windows-a8v2-lowpriority,8,16,80,0.24
linux-a1v2-standard,1,2,10,0.043
windows-a1v2-standard,1,2,10,0.065
linux-a2v2-standard,2,4,20,0.091
windows-a2v2-standard,2,4,20,0.136
linux-a4v2-standard,4,8,40,0.191
windows-a4v2-standard,4,8,40,0.286
linux-a8v2-standard,8,16,80,0.4
windows-a8v2-standard,8,16,80,0.6
linux-a2mv2-lowpriority,2,16,20,0.024
windows-a2mv2-lowpriority,2,16,20,0.072
linux-a4mv2-lowpriority,4,32,40,0.05
windows-a4mv2-lowpriority,4,32,40,0.151
linux-a8mv2-lowpriority,8,64,80,0.105
windows-a8mv2-lowpriority,8,64,80,0.318
linux-a2mv2-standard,2,16,20,0.119
windows-a2mv2-standard,2,16,20,0.18
linux-a4mv2-standard,4,32,40,0.249
windows-a4mv2-standard,4,32,40,0.378
linux-a8mv2-standard,8,64,80,0.524
windows-a8mv2-standard,8,64,80,0.794
linux-b1s-standard,1,1,4,0.0104
windows-b1s-standard,1,1,4,0.014
linux-b2s-standard,2,4,8,0.0416
windows-b2s-standard,2,4,8,0.0496
linux-b1ls-standard,1,0.5,4,0.0052
linux-b1ms-standard,1,2,4,0.0208
windows-b1ms-standard,1,2,4,0.0246
linux-b2ms-standard,2,8,16,0.0832
windows-b2ms-standard,2,8,16,0.0912
linux-b4ms-standard,4,16,32,0.166
windows-b4ms-standard,4,16,32,0.182
linux-b8ms-standard,8,32,64,0.333
windows-b8ms-standard,8,32,64,0.365
linux-b12ms-standard,12,48,96,0.499
windows-b12ms-standard,12,48,96,0.547
linux-b16ms-standard,16,64,128,0.666
windows-b16ms-standard,16,64,128,0.73
linux-b20ms-standard,20,80,160,0.832
windows-b20ms-standard,20,80,160,0.912
linux-d1-lowpriority,1,3.5,50,0.013
windows-d1-lowpriority,1,3.5,50,0.052
linux-d2-lowpriority,2,7,100,0.0268
windows-d2-lowpriority,2,7,100,0.104
linux-d3-lowpriority,4,14,200,0.0536
windows-d3-lowpriority,4,14,200,0.208
linux-d4-lowpriority,8,28,400,0.107
windows-d4-lowpriority,8,28,400,0.416
linux-d11-lowpriority,2,14,100,0.0347
windows-d11-lowpriority,2,14,100,0.097
linux-d12-lowpriority,4,28,200,0.069
windows-d12-lowpriority,4,28,200,0.194
linux-d13-lowpriority,8,56,400,0.139
windows-d13-lowpriority,8,56,400,0.389
linux-d14-lowpriority,16,112,800,0.277
windows-d14-lowpriority,16,112,800,0.778
linux-d1-standard,1,3.5,50,0.067
windows-d1-standard,1,3.5,50,0.13
linux-d2-standard,2,7,100,0.134
windows-d2-standard,2,7,100,0.26
linux-d3-standard,4,14,200,0.268
windows-d3-standard,4,14,200,0.52
linux-d4-standard,8,28,400,0.536
windows-d4-standard,8,28,400,1.04
linux-d11-standard,2,14,100,0.173
windows-d11-standard,2,14,100,0.243
linux-d12-standard,4,28,200,0.347
windows-d12-standard,4,28,200,0.486
linux-d13-standard,8,56,400,0.694
windows-d13-standard,8,56,400,0.972
linux-d14-standard,16,112,800,1.387
windows-d14-standard,16,112,800,1.944
linux-d2adsv5-standard,2,8,75,0.103
windows-d2adsv5-standard,2,8,75,0.195
linux-d4adsv5-standard,4,16,150,0.206
windows-d4adsv5-standard,4,16,150,0.39
linux-d8adsv5-standard,8,32,300,0.412
windows-d8adsv5-standard,8,32,300,0.78
linux-d16adsv5-standard,16,64,600,0.824
windows-d16adsv5-standard,16,64,600,1.56
linux-d32adsv5-standard,32,128,1200,1.648
windows-d32adsv5-standard,32,128,1200,3.12
linux-d48adsv5-standard,48,192,1800,2.472
windows-d48adsv5-standard,48,192,1800,4.68
linux-d64adsv5-standard,64,256,2400,3.296
windows-d64adsv5-standard,64,256,2400,6.24
linux-d96adsv5-standard,96,384,3600,4.944
windows-d96adsv5-standard,96,384,3600,9.36
linux-d2asv4-lowpriority,2,8,16,0.0192
windows-d2asv4-lowpriority,2,8,16,0.0752
linux-d4asv4-lowpriority,4,16,32,0.0384
windows-d4asv4-lowpriority,4,16,32,0.15
linux-d8asv4-lowpriority,8,32,64,0.0768
windows-d8asv4-lowpriority,8,32,64,0.301
linux-d16asv4-lowpriority,16,64,128,0.154
windows-d16asv4-lowpriority,16,64,128,0.602
linux-d32asv4-lowpriority,32,128,256,0.307
windows-d32asv4-lowpriority,32,128,256,1.203
linux-d48asv4-lowpriority,48,192,384,0.461
windows-d48asv4-lowpriority,48,192,384,1.805
linux-d64asv4-lowpriority,64,256,512,0.614
windows-d64asv4-lowpriority,64,256,512,2.406
linux-d96asv4-lowpriority,96,384,768,0.922
windows-d96asv4-lowpriority,96,384,768,3.61
linux-d2asv4-standard,2,8,16,0.096
windows-d2asv4-standard,2,8,16,0.188
linux-d4asv4-standard,4,16,32,0.192
windows-d4asv4-standard,4,16,32,0.376
linux-d8asv4-standard,8,32,64,0.384
windows-d8asv4-standard,8,32,64,0.752
linux-d16asv4-standard,16,64,128,0.768
windows-d16asv4-standard,16,64,128,1.504
linux-d32asv4-standard,32,128,256,1.536
windows-d32asv4-standard,32,128,256,3.008
linux-d48asv4-standard,48,192,384,2.304
windows-d48asv4-standard,48,192,384,4.512
linux-d64asv4-standard,64,256,512,3.072
windows-d64asv4-standard,64,256,512,6.016
linux-d96asv4-standard,96,384,768,4.608
windows-d96asv4-standard,96,384,768,9.024
linux-d2asv5-standard,2,8,,0.086
windows-d2asv5-standard,2,8,,0.178
linux-d4asv5-standard,4,16,,0.172
windows-d4asv5-standard,4,16,,0.356
linux-d8asv5-standard,8,32,,0.344
windows-d8asv5-standard,8,32,,0.712
linux-d16asv5-standard,16,64,,0.688
windows-d16asv5-standard,16,64,,1.424
linux-d32asv5-standard,32,128,,1.376
windows-d32asv5-standard,32,128,,2.848
linux-d48asv5-standard,48,192,,2.064
windows-d48asv5-standard,48,192,,4.272
