vendor,instance_type,vcpu,memory_gib,cost_in_dollars
AWS,m6i.24xlarge,96,384 GiB,5.7600000000
AWS,u-12tb1.112xlarge,448,12288 GiB,185.4930000000
AWS,m5d.8xlarge,32,128 GiB,14.3360000000
AWS,r5n.12xlarge,48,384 GiB,22.3440000000
AWS,m5.16xlarge,64,256 GiB,11.5200000000
AWS,c3.large,2,3.75 GiB,0.1320000000
AWS,d2.4xlarge,16,122 GiB,9.6430000000
AWS,i3.metal,72,512 GiB,30.5600000000
AWS,c5.metal,96,192 GiB,40.0800000000
AWS,c5ad.2xlarge,8,16 GiB,0.4680000000
AWS,r5.large,2,16 GiB,0.1600000000
AWS,r5a.12xlarge,48,384 GiB,21.2640000000
AWS,m6i.4xlarge,16,64 GiB,1.1264000000
AWS,z1d.3xlarge,12,96 GiB,2.8850000000
AWS,r5a.xlarge,4,32 GiB,0.2740000000
AWS,x2idn.32xlarge,128,2048 GiB,31.3660000000
AWS,m5d.8xlarge,32,128 GiB,1.9180000000
AWS,c5.9xlarge,36,72 GiB,15.3360000000
AWS,c6i.16xlarge,64,128 GiB,4.6720000000
AWS,x2idn.16xlarge,64,1024 GiB,16.9233000000
AWS,c3.xlarge,4,7.5 GiB,1.7900000000
AWS,m6i.metal,128,512 GiB,6.5280000000
AWS,c5.4xlarge,16,32 GiB,2.8320000000
AWS,c5n.large,2,5.25 GiB,0.6160000000
AWS,c5a.2xlarge,8,16 GiB,3.5190000000
AWS,m6g,64,NA,3.0270000000
AWS,r5ad.4xlarge,16,128 GiB,1.4940000000
AWS,i3.4xlarge,16,122 GiB,3.1680000000
AWS,m5.xlarge,4,16 GiB,0.2640000000
AWS,c6g.4xlarge,16,32 GiB,0.6648000000
AWS,inf1.xlarge,4,8 GiB,0.3520000000
AWS,m3.2xlarge,8,30 GiB,0.9710000000
AWS,inf1.2xlarge,8,16 GiB,3.5910000000
AWS,m5dn.12xlarge,48,192 GiB,10.1100000000
AWS,r6g.2xlarge,8,64 GiB,0.2756000000
AWS,i3en.3xlarge,12,96 GiB,6.2250000000
AWS,r5ad.xlarge,4,32 GiB,1.7620000000
AWS,m5ad.12xlarge,48,192 GiB,21.1440000000
AWS,c5.large,2,4 GiB,0.1750000000
AWS,r6i.8xlarge,32,256 GiB,14.6576000000
AWS,c5d.2xlarge,8,16 GiB,1.4400000000
AWS,c5.metal,96,192 GiB,6.7580000000
AWS,c5n.2xlarge,8,21 GiB,3.5430000000
AWS,x2iedn.24xlarge,96,3072 GiB,40.1310000000
AWS,r6g.4xlarge,16,128 GiB,0.9362000000
AWS,c5d.18xlarge,72,144 GiB,31.0320000000
AWS,i4i.2xlarge,8,64 GiB,1.0960000000
AWS,r5ad.xlarge,4,32 GiB,0.3860000000
AWS,r5dn.4xlarge,16,128 GiB,1.6900000000
AWS,c5a.2xlarge,8,16 GiB,1.3300000000
